Date : 2022-08-19 09:54:40
Directory : c:\Users\david\Documents\EPHScores\ephscores
Total : 76 files,  7068 codes, 163 comments, 316 blanks, all 7547 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\Users\david\Documents\EPHScores\ephscores\assets\Front\right_leg_front.svg                                               | SVG        |         85 |          1 |          2 |         88 |
| c:\Users\david\Documents\EPHScores\ephscores\assets\Front\upper_torso_front.svg                                             | SVG        |         85 |          1 |          2 |         88 |
| c:\Users\david\Documents\EPHScores\ephscores\assets\Ped\head.svg                                                            | SVG        |         85 |          1 |          2 |         88 |
| c:\Users\david\Documents\EPHScores\ephscores\assets\Ped\left_arm.svg                                                        | SVG        |         93 |          1 |          2 |         96 |
| c:\Users\david\Documents\EPHScores\ephscores\assets\Ped\left_leg.svg                                                        | SVG        |        105 |          1 |          2 |        108 |
| c:\Users\david\Documents\EPHScores\ephscores\assets\Ped\right_arm.svg                                                       | SVG        |         91 |          1 |          2 |         94 |
| c:\Users\david\Documents\EPHScores\ephscores\assets\Ped\right_leg.svg                                                       | SVG        |        105 |          1 |          2 |        108 |
| c:\Users\david\Documents\EPHScores\ephscores\assets\Ped\torso.svg                                                           | SVG        |        131 |          1 |          2 |        134 |
| c:\Users\david\Documents\EPHScores\ephscores\ios\Flutter\AppFrameworkInfo.plist                                             | XML        |         26 |          0 |          1 |         27 |
| c:\Users\david\Documents\EPHScores\ephscores\ios\Runner.xcodeproj\project.xcworkspace\xcshareddata\IDEWorkspaceChecks.plist | XML        |          8 |          0 |          1 |          9 |
| c:\Users\david\Documents\EPHScores\ephscores\ios\Runner.xcworkspace\xcshareddata\IDEWorkspaceChecks.plist                   | XML        |          8 |          0 |          1 |          9 |
| c:\Users\david\Documents\EPHScores\ephscores\ios\Runner\AppDelegate.swift                                                   | Swift      |         12 |          0 |          2 |         14 |
| c:\Users\david\Documents\EPHScores\ephscores\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json                    | JSON       |          1 |          0 |          0 |          1 |
| c:\Users\david\Documents\EPHScores\ephscores\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json                  | JSON       |         23 |          0 |          1 |         24 |
| c:\Users\david\Documents\EPHScores\ephscores\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md                      | Markdown   |          3 |          0 |          2 |          5 |
| c:\Users\david\Documents\EPHScores\ephscores\ios\Runner\Base.lproj\LaunchScreen.storyboard                                  | XML        |         36 |          1 |          1 |         38 |
| c:\Users\david\Documents\EPHScores\ephscores\ios\Runner\Base.lproj\Main.storyboard                                          | XML        |         25 |          1 |          1 |         27 |
| c:\Users\david\Documents\EPHScores\ephscores\ios\Runner\Info.plist                                                          | XML        |         45 |          0 |          1 |         46 |
| c:\Users\david\Documents\EPHScores\ephscores\ios\Runner\Runner-Bridging-Header.h                                            | C          |          1 |          0 |          1 |          2 |
| c:\Users\david\Documents\EPHScores\ephscores\lib\Burn.dart                                                                  | Dart       |        197 |          3 |          8 |        208 |
| c:\Users\david\Documents\EPHScores\ephscores\lib\BurnPed\Anterior.dart                                                      | Dart       |        219 |          1 |         13 |        233 |
| c:\Users\david\Documents\EPHScores\ephscores\lib\BurnPed\Posterior.dart                                                     | Dart       |        219 |          1 |         13 |        233 |
| c:\Users\david\Documents\EPHScores\ephscores\lib\Burn\Anterior.dart                                                         | Dart       |        260 |          1 |         12 |        273 |
| c:\Users\david\Documents\EPHScores\ephscores\lib\Burn\Posterior.dart                                                        | Dart       |        239 |          1 |         13 |        253 |
| c:\Users\david\Documents\EPHScores\ephscores\lib\Contacts.dart                                                              | Dart       |        113 |          3 |          9 |        125 |
| c:\Users\david\Documents\EPHScores\ephscores\lib\PediatricScore.dart                                                        | Dart       |        245 |          5 |         15 |        265 |
| c:\Users\david\Documents\EPHScores\ephscores\lib\Score.dart                                                                 | Dart       |        495 |         10 |         25 |        530 |
| c:\Users\david\Documents\EPHScores\ephscores\lib\Scores\APGAR.dart                                                          | Dart       |        198 |          1 |          5 |        204 |
| c:\Users\david\Documents\EPHScores\ephscores\lib\Scores\Cincinnati.dart                                                     | Dart       |         63 |          1 |          5 |         69 |
| c:\Users\david\Documents\EPHScores\ephscores\lib\Scores\ECG.dart                                                            | Dart       |        150 |          1 |          5 |        156 |
| c:\Users\david\Documents\EPHScores\ephscores\lib\Scores\MGAP.dart                                                           | Dart       |        118 |          1 |          5 |        124 |
| c:\Users\david\Documents\EPHScores\ephscores\lib\Scores\NEWS.dart                                                           | Dart       |        391 |          1 |          5 |        397 |
| c:\Users\david\Documents\EPHScores\ephscores\lib\Scores\PROACS.dart                                                         | Dart       |        150 |          1 |          5 |        156 |
| c:\Users\david\Documents\EPHScores\ephscores\lib\Scores\PTS.dart                                                            | Dart       |        234 |          1 |          5 |        240 |
| c:\Users\david\Documents\EPHScores\ephscores\lib\Scores\RACE.dart                                                           | Dart       |        278 |          1 |          9 |        288 |
| c:\Users\david\Documents\EPHScores\ephscores\lib\Scores\RTS.dart                                                            | Dart       |        106 |          1 |          5 |        112 |
| c:\Users\david\Documents\EPHScores\ephscores\lib\Scores\TAP.dart                                                            | Dart       |        142 |          1 |          5 |        148 |
| c:\Users\david\Documents\EPHScores\ephscores\lib\Start.dart                                                                 | Dart       |        526 |          3 |         10 |        539 |
| c:\Users\david\Documents\EPHScores\ephscores\lib\components\Contact.dart                                                    | Dart       |         61 |          0 |          7 |         68 |
| c:\Users\david\Documents\EPHScores\ephscores\lib\components\MenuButton.dart                                                 | Dart       |         54 |          0 |          5 |         59 |
| c:\Users\david\Documents\EPHScores\ephscores\lib\main.dart                                                                  | Dart       |        104 |          1 |          7 |        112 |
| c:\Users\david\Documents\EPHScores\ephscores\pubspec.yaml                                                                   | YAML       |         24 |         45 |         15 |         84 |
| c:\Users\david\Documents\EPHScores\ephscores\web\index.html                                                                 | HTML       |         79 |         14 |          6 |         99 |
| c:\Users\david\Documents\EPHScores\ephscores\web\manifest.json                                                              | JSON       |         23 |          0 |          1 |         24 |
| Total                                                                                                                       |            |      7,068 |        163 |        316 |      7,547 |
+-----------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
